File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,28.834091%,3999,800,3956,43,0,800
port.o,7.448266%,1033,9,988,41,4,5
queue.o,7.368952%,1022,64,1002,20,0,64
timers.o,6.770495%,939,60,918,21,0,60
mc_w.l,5.234696%,726,4,722,0,4,0
heap_4.o,4.787656%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.268513%,592,0,592,0,0,0
main.o,4.095465%,568,16,568,0,0,16
usart0.o,4.066623%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.850314%,534,4,530,0,4,0
printf3.o,3.403274%,472,0,472,0,0,0
exti.o,3.388853%,470,0,470,0,0,0
gd32f4xx_dma.o,3.129281%,434,0,434,0,0,0
startup_gd32f407_427.o,3.086019%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.076574%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.975629%,274,0,274,0,0,0
bsp_keys.o,1.701637%,236,4,232,0,4,0
gd32f4xx_misc.o,1.297858%,180,0,180,0,0,0
list.o,1.081549%,150,0,150,0,0,0
init.o,0.346096%,48,0,48,0,0,0
uidiv.o,0.317254%,44,0,44,0,0,0
puts.o,0.259572%,36,0,36,0,0,0
memseta.o,0.259572%,36,0,36,0,0,0
memcpya.o,0.259572%,36,0,36,0,0,0
handlers.o,0.216310%,30,0,30,0,0,0
gd32f4xx_exti.o,0.216310%,30,0,30,0,0,0
gd32f4xx_it.o,0.086524%,12,0,12,0,0,0
entry9a.o,0.057683%,8,0,8,0,0,0
entry2.o,0.057683%,8,0,8,0,0,0
stdout.o,0.028841%,4,4,0,0,4,0
entry5.o,0.028841%,4,0,4,0,0,0
