File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,22.073454%,2951,800,2908,43,0,800
queue.o,7.644551%,1022,64,1002,20,0,64
timers.o,7.023712%,939,60,918,21,0,60
port.o,6.859152%,917,9,872,41,4,5
mc_w.l,5.430473%,726,4,722,0,4,0
heap_4.o,4.966714%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.428154%,592,0,592,0,0,0
usart0.o,4.218715%,564,1028,564,0,0,1028
gd32f4xx_timer.o,4.173835%,558,0,558,0,0,0
main.o,4.069115%,544,12,544,0,0,12
system_gd32f4xx.o,3.994315%,534,4,530,0,4,0
printf3.o,3.530556%,472,0,472,0,0,0
exti.o,3.515596%,470,0,470,0,0,0
gd32f4xx_dma.o,3.246316%,434,0,434,0,0,0
startup_gd32f407_427.o,3.201436%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.408557%,322,0,314,8,0,0
gd32f4xx_gpio.o,2.049518%,274,0,274,0,0,0
bsp_keys.o,1.765278%,236,4,232,0,4,0
gd32f4xx_misc.o,1.346398%,180,0,180,0,0,0
list.o,1.121999%,150,0,150,0,0,0
systick.o,0.718079%,96,0,96,0,0,0
init.o,0.359040%,48,0,48,0,0,0
uidiv.o,0.329120%,44,0,44,0,0,0
puts.o,0.269280%,36,0,36,0,0,0
memseta.o,0.269280%,36,0,36,0,0,0
memcpya.o,0.269280%,36,0,36,0,0,0
handlers.o,0.224400%,30,0,30,0,0,0
gd32f4xx_exti.o,0.224400%,30,0,30,0,0,0
gd32f4xx_it.o,0.089760%,12,0,12,0,0,0
entry9a.o,0.059840%,8,0,8,0,0,0
entry2.o,0.059840%,8,0,8,0,0,0
stdout.o,0.029920%,4,4,0,0,4,0
entry5.o,0.029920%,4,0,4,0,0,0
