File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,23.088446%,3391,800,3348,43,0,800
queue.o,13.154490%,1932,64,1912,20,0,64
timers.o,8.231770%,1209,60,1188,21,0,60
port.o,7.033431%,1033,9,988,41,4,5
mc_w.l,4.943147%,726,4,722,0,4,0
main.o,4.888677%,718,24,718,0,0,24
heap_4.o,4.521005%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.030776%,592,0,592,0,0,0
usart0.o,3.840131%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.635869%,534,4,530,0,4,0
printf3.o,3.213727%,472,0,472,0,0,0
exti.o,3.200109%,470,0,470,0,0,0
gd32f4xx_dma.o,2.954994%,434,0,434,0,0,0
startup_gd32f407_427.o,2.914142%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.960918%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.865595%,274,0,274,0,0,0
bsp_keys.o,1.606863%,236,4,232,0,4,0
gd32f4xx_misc.o,1.225574%,180,0,180,0,0,0
list.o,1.021311%,150,0,150,0,0,0
systick.o,0.653639%,96,0,96,0,0,0
init.o,0.326820%,48,0,48,0,0,0
uidiv.o,0.299585%,44,0,44,0,0,0
puts.o,0.245115%,36,0,36,0,0,0
memseta.o,0.245115%,36,0,36,0,0,0
memcpya.o,0.245115%,36,0,36,0,0,0
handlers.o,0.204262%,30,0,30,0,0,0
gd32f4xx_exti.o,0.204262%,30,0,30,0,0,0
gd32f4xx_it.o,0.081705%,12,0,12,0,0,0
entry9a.o,0.054470%,8,0,8,0,0,0
entry2.o,0.054470%,8,0,8,0,0,0
stdout.o,0.027235%,4,4,0,0,4,0
entry5.o,0.027235%,4,0,4,0,0,0
