File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,25.077196%,3817,800,3774,43,0,800
queue.o,14.979305%,2280,64,2260,20,0,64
port.o,6.786676%,1033,9,988,41,4,5
mc_w.l,6.293936%,958,4,954,0,4,0
timers.o,6.169108%,939,60,918,21,0,60
heap_4.o,4.362394%,664,76828,626,38,0,76828
main.o,4.047040%,616,20,616,0,0,20
gd32f4xx_usart.o,3.889363%,592,0,592,0,0,0
printf4.o,3.863084%,588,0,588,0,0,0
usart0.o,3.705407%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.508311%,534,4,530,0,4,0
exti.o,3.087839%,470,0,470,0,0,0
gd32f4xx_dma.o,2.851324%,434,0,434,0,0,0
startup_gd32f407_427.o,2.811905%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.892123%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.800145%,274,0,274,0,0,0
gd32f4xx_misc.o,1.182577%,180,0,180,0,0,0
list.o,0.985481%,150,0,150,0,0,0
uldiv.o,0.643847%,98,0,98,0,0,0
init.o,0.315354%,48,0,48,0,0,0
puts.o,0.236515%,36,0,36,0,0,0
memseta.o,0.236515%,36,0,36,0,0,0
memcpya.o,0.236515%,36,0,36,0,0,0
llushr.o,0.210236%,32,0,32,0,0,0
llshl.o,0.197096%,30,0,30,0,0,0
handlers.o,0.197096%,30,0,30,0,0,0
gd32f4xx_exti.o,0.197096%,30,0,30,0,0,0
gd32f4xx_it.o,0.078838%,12,0,12,0,0,0
entry9a.o,0.052559%,8,0,8,0,0,0
entry2.o,0.052559%,8,0,8,0,0,0
stdout.o,0.026279%,4,4,0,0,4,0
entry5.o,0.026279%,4,0,4,0,0,0
