File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
oled.o,32.899887%,7818,1152,1186,6632,0,1152
tasks.o,16.062786%,3817,800,3774,43,0,800
queue.o,9.594748%,2280,64,2260,20,0,64
port.o,4.347094%,1033,9,988,41,4,5
mc_w.l,4.241889%,1008,4,1004,0,4,0
timers.o,3.951521%,939,60,918,21,0,60
heap_4.o,2.794260%,664,76828,626,38,0,76828
printf4.o,2.684846%,638,0,638,0,0,0
main.o,2.508101%,596,16,596,0,0,16
gd32f4xx_usart.o,2.491268%,592,0,592,0,0,0
usart0.o,2.373438%,564,1028,564,0,0,1028
i2c0.o,2.331356%,554,0,554,0,0,0
system_gd32f4xx.o,2.247191%,534,4,530,0,4,0
exti.o,1.977865%,470,0,470,0,0,0
gd32f4xx_dma.o,1.826369%,434,0,434,0,0,0
startup_gd32f407_427.o,1.801119%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.211968%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.203552%,286,0,286,0,0,0
gd32f4xx_misc.o,0.757480%,180,0,180,0,0,0
list.o,0.631233%,150,0,150,0,0,0
uldiv.o,0.412406%,98,0,98,0,0,0
systick.o,0.311408%,74,0,74,0,0,0
init.o,0.201995%,48,0,48,0,0,0
puts.o,0.151496%,36,0,36,0,0,0
memseta.o,0.151496%,36,0,36,0,0,0
memcpya.o,0.151496%,36,0,36,0,0,0
llushr.o,0.134663%,32,0,32,0,0,0
llshl.o,0.126247%,30,0,30,0,0,0
handlers.o,0.126247%,30,0,30,0,0,0
gd32f4xx_exti.o,0.126247%,30,0,30,0,0,0
gd32f4xx_it.o,0.050499%,12,0,12,0,0,0
entry9a.o,0.033666%,8,0,8,0,0,0
entry2.o,0.033666%,8,0,8,0,0,0
stdout.o,0.016833%,4,4,0,0,4,0
entry5.o,0.016833%,4,0,4,0,0,0
i2c.o,0.016833%,4,0,4,0,0,0
