File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,94.857582%,76828,664,626,38,0,76828
oled.o,1.422345%,1152,7818,1186,6632,0,1152
usart0.o,1.269246%,1028,564,564,0,0,1028
startup_gd32f407_427.o,1.264307%,1024,428,36,392,0,1024
tasks.o,0.987740%,800,3817,3774,43,0,800
queue.o,0.079019%,64,2280,2260,20,0,64
timers.o,0.074080%,60,939,918,21,0,60
main.o,0.019755%,16,596,596,0,0,16
port.o,0.011112%,9,1033,988,41,4,5
mc_w.l,0.004939%,4,1008,1004,0,4,0
stdout.o,0.004939%,4,4,0,0,4,0
system_gd32f4xx.o,0.004939%,4,534,530,0,4,0
