File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,16.925829%,3407,800,3364,43,0,800
mc_w.l,13.701625%,2758,4,2754,0,4,0
printfa.o,11.466044%,2308,0,2308,0,0,0
queue.o,7.789756%,1568,64,1548,20,0,64
mf_w.l,5.484624%,1104,0,1104,0,0,0
main.o,4.739431%,954,28,954,0,0,28
timers.o,4.664911%,939,60,918,21,0,60
port.o,4.555616%,917,9,872,41,4,5
heap_4.o,3.298723%,664,76828,626,38,0,76828
gd32f4xx_usart.o,2.941030%,592,0,592,0,0,0
usart0.o,2.801928%,564,1028,564,0,0,1028
system_gd32f4xx.o,2.652889%,534,4,530,0,4,0
exti.o,2.334940%,470,0,470,0,0,0
gd32f4xx_dma.o,2.156093%,434,0,434,0,0,0
startup_gd32f407_427.o,2.126286%,428,1024,36,392,0,1024
dadd.o,1.659298%,334,0,334,0,0,0
gd32f4xx_rcu.o,1.430771%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.361220%,274,0,274,0,0,0
dmul.o,1.132694%,228,0,228,0,0,0
ddiv.o,1.102886%,222,0,222,0,0,0
depilogue.o,0.924040%,186,0,186,0,0,0
gd32f4xx_misc.o,0.894232%,180,0,180,0,0,0
list.o,0.745193%,150,0,150,0,0,0
uldiv.o,0.486860%,98,0,98,0,0,0
dfixul.o,0.238462%,48,0,48,0,0,0
cdrcmple.o,0.238462%,48,0,48,0,0,0
init.o,0.238462%,48,0,48,0,0,0
uidiv.o,0.218590%,44,0,44,0,0,0
f2d.o,0.188782%,38,0,38,0,0,0
puts.o,0.178846%,36,0,36,0,0,0
memseta.o,0.178846%,36,0,36,0,0,0
memcpya.o,0.178846%,36,0,36,0,0,0
llsshr.o,0.178846%,36,0,36,0,0,0
llushr.o,0.158975%,32,0,32,0,0,0
llshl.o,0.149039%,30,0,30,0,0,0
handlers.o,0.149039%,30,0,30,0,0,0
gd32f4xx_exti.o,0.149039%,30,0,30,0,0,0
gd32f4xx_it.o,0.059615%,12,0,12,0,0,0
entry9a.o,0.039744%,8,0,8,0,0,0
entry2.o,0.039744%,8,0,8,0,0,0
stdout.o,0.019872%,4,4,0,0,4,0
entry5.o,0.019872%,4,0,4,0,0,0
