File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,22.200626%,3541,800,3498,43,0,800
mc_w.l,9.554859%,1524,4,1520,0,4,0
printf8.o,7.235110%,1154,0,1154,0,0,0
queue.o,6.407524%,1022,64,1002,20,0,64
timers.o,5.887147%,939,60,918,21,0,60
port.o,5.749216%,917,9,872,41,4,5
event_groups.o,5.598746%,893,0,866,27,0,0
main.o,4.601881%,734,20,734,0,0,20
heap_4.o,4.163009%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.711599%,592,0,592,0,0,0
usart0.o,3.536050%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.347962%,534,4,530,0,4,0
exti.o,2.946708%,470,0,470,0,0,0
gd32f4xx_dma.o,2.721003%,434,0,434,0,0,0
startup_gd32f407_427.o,2.683386%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.805643%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.717868%,274,0,274,0,0,0
bsp_keys.o,1.479624%,236,4,232,0,4,0
gd32f4xx_misc.o,1.128527%,180,0,180,0,0,0
list.o,0.940439%,150,0,150,0,0,0
uldiv.o,0.614420%,98,0,98,0,0,0
init.o,0.300940%,48,0,48,0,0,0
puts.o,0.225705%,36,0,36,0,0,0
memseta.o,0.225705%,36,0,36,0,0,0
memcpya.o,0.225705%,36,0,36,0,0,0
llushr.o,0.200627%,32,0,32,0,0,0
llshl.o,0.188088%,30,0,30,0,0,0
handlers.o,0.188088%,30,0,30,0,0,0
gd32f4xx_exti.o,0.188088%,30,0,30,0,0,0
gd32f4xx_it.o,0.075235%,12,0,12,0,0,0
entry9a.o,0.050157%,8,0,8,0,0,0
entry2.o,0.050157%,8,0,8,0,0,0
stdout.o,0.025078%,4,4,0,0,4,0
entry5.o,0.025078%,4,0,4,0,0,0
