File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,26.103661%,3873,800,3830,43,0,800
mc_w.l,7.454337%,1106,4,1102,0,4,0
queue.o,6.888185%,1022,64,1002,20,0,64
main.o,6.861225%,1018,24,994,24,0,24
timers.o,6.328773%,939,60,918,21,0,60
port.o,6.180495%,917,9,872,41,4,5
printf5.o,4.960572%,736,0,736,0,0,0
heap_4.o,4.475298%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.990025%,592,0,592,0,0,0
usart0.o,3.801307%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.599110%,534,4,530,0,4,0
exti.o,3.167756%,470,0,470,0,0,0
gd32f4xx_dma.o,2.925120%,434,0,434,0,0,0
startup_gd32f407_427.o,2.884680%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.941093%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.846735%,274,0,274,0,0,0
bsp_keys.o,1.590618%,236,4,232,0,4,0
gd32f4xx_misc.o,1.213183%,180,0,180,0,0,0
list.o,1.010986%,150,0,150,0,0,0
uldiv.o,0.660511%,98,0,98,0,0,0
init.o,0.323516%,48,0,48,0,0,0
puts.o,0.242637%,36,0,36,0,0,0
memseta.o,0.242637%,36,0,36,0,0,0
memcpya.o,0.242637%,36,0,36,0,0,0
llushr.o,0.215677%,32,0,32,0,0,0
llshl.o,0.202197%,30,0,30,0,0,0
handlers.o,0.202197%,30,0,30,0,0,0
gd32f4xx_exti.o,0.202197%,30,0,30,0,0,0
gd32f4xx_it.o,0.080879%,12,0,12,0,0,0
entry9a.o,0.053919%,8,0,8,0,0,0
entry2.o,0.053919%,8,0,8,0,0,0
stdout.o,0.026960%,4,4,0,0,4,0
entry5.o,0.026960%,4,0,4,0,0,0
