File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.725468%,3535,800,3492,43,0,800
mc_w.l,7.735888%,1106,4,1102,0,4,0
queue.o,7.148353%,1022,64,1002,20,0,64
timers.o,6.567811%,939,60,918,21,0,60
port.o,6.413933%,917,9,872,41,4,5
printf5.o,5.147933%,736,0,736,0,0,0
main.o,4.882143%,698,24,674,24,0,24
heap_4.o,4.644331%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.140729%,592,0,592,0,0,0
usart0.o,3.944884%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.735049%,534,4,530,0,4,0
exti.o,3.287403%,470,0,470,0,0,0
gd32f4xx_dma.o,3.035602%,434,0,434,0,0,0
startup_gd32f407_427.o,2.993635%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.014409%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.916486%,274,0,274,0,0,0
bsp_keys.o,1.650696%,236,4,232,0,4,0
gd32f4xx_misc.o,1.259005%,180,0,180,0,0,0
list.o,1.049171%,150,0,150,0,0,0
delay.o,0.825348%,118,0,118,0,0,0
uldiv.o,0.685458%,98,0,98,0,0,0
init.o,0.335735%,48,0,48,0,0,0
puts.o,0.251801%,36,0,36,0,0,0
memseta.o,0.251801%,36,0,36,0,0,0
memcpya.o,0.251801%,36,0,36,0,0,0
llushr.o,0.223823%,32,0,32,0,0,0
llshl.o,0.209834%,30,0,30,0,0,0
handlers.o,0.209834%,30,0,30,0,0,0
gd32f4xx_exti.o,0.209834%,30,0,30,0,0,0
gd32f4xx_it.o,0.083934%,12,0,12,0,0,0
entry9a.o,0.055956%,8,0,8,0,0,0
entry2.o,0.055956%,8,0,8,0,0,0
stdout.o,0.027978%,4,4,0,0,4,0
entry5.o,0.027978%,4,0,4,0,0,0
