File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,18.785616%,2868,12,2856,0,12,0
printfa.o,14.790071%,2258,0,2258,0,0,0
gd32f4xx_timer.o,7.440886%,1136,0,1136,0,0,0
mf_w.l,7.231283%,1104,0,1104,0,0,0
gd32f4xx_usart.o,3.930045%,600,0,600,0,0,0
system_gd32f4xx.o,3.497740%,534,4,530,0,4,0
exti.o,3.078535%,470,0,470,0,0,0
gd32f4xx_adc.o,2.882033%,440,0,440,0,0,0
startup_gd32f407_427.o,2.803432%,428,2048,36,392,0,2048
app_debug.o,2.777232%,424,30,410,0,14,16
app_servo.o,2.384228%,364,10,364,0,0,10
usart0.o,2.279426%,348,0,348,0,0,0
timer.o,2.253226%,344,0,344,0,0,0
dadd.o,2.187725%,334,0,334,0,0,0
gd32f4xx_rcu.o,2.109124%,322,0,314,8,0,0
protocol.o,1.847121%,282,28,282,0,0,28
gd32f4xx_gpio.o,1.729220%,264,0,264,0,0,0
tasks.o,1.526168%,233,65,168,0,65,0
dmul.o,1.493417%,228,0,228,0,0,0
adc0.o,1.480317%,226,0,226,0,0,0
ddiv.o,1.454117%,222,0,222,0,0,0
malloc.o,1.231414%,188,0,188,0,0,0
depilogue.o,1.218314%,186,0,186,0,0,0
gd32f4xx_misc.o,1.179014%,180,0,180,0,0,0
circular_queue.o,1.126613%,172,0,172,0,0,0
task_timer.o,1.021812%,156,0,156,0,0,0
systick.o,0.943211%,144,12,144,0,0,12
utils.o,0.786009%,120,0,120,0,0,0
uldiv.o,0.641907%,98,0,98,0,0,0
main.o,0.419205%,64,0,64,0,0,0
dfixul.o,0.314404%,48,0,48,0,0,0
cdrcmple.o,0.314404%,48,0,48,0,0,0
init.o,0.314404%,48,0,48,0,0,0
uidiv.o,0.288203%,44,0,44,0,0,0
f2d.o,0.248903%,38,0,38,0,0,0
puts.o,0.235803%,36,0,36,0,0,0
memcpya.o,0.235803%,36,0,36,0,0,0
llsshr.o,0.235803%,36,0,36,0,0,0
llushr.o,0.209602%,32,0,32,0,0,0
llshl.o,0.196502%,30,0,30,0,0,0
handlers.o,0.196502%,30,0,30,0,0,0
gd32f4xx_exti.o,0.196502%,30,0,30,0,0,0
adc.o,0.144102%,22,0,22,0,0,0
gd32f4xx_it.o,0.131002%,20,0,20,0,0,0
mvars.o,0.052401%,8,8,0,0,8,0
entry9a.o,0.052401%,8,0,8,0,0,0
entry2.o,0.052401%,8,0,8,0,0,0
stdout.o,0.026200%,4,4,0,0,4,0
entry5.o,0.026200%,4,0,4,0,0,0
