File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,19.874897%,1684,12,1672,0,12,0
printf8.o,13.619733%,1154,0,1154,0,0,0
gd32f4xx_usart.o,7.081317%,600,0,600,0,0,0
gd32f4xx_timer.o,6.585625%,558,0,558,0,0,0
system_gd32f4xx.o,6.302372%,534,4,530,0,4,0
exti.o,5.547032%,470,0,470,0,0,0
startup_gd32f407_427.o,5.051340%,428,2048,36,392,0,2048
usart0.o,4.107164%,348,0,348,0,0,0
gd32f4xx_rcu.o,3.800307%,322,0,314,8,0,0
protocol.o,3.328219%,282,28,282,0,0,28
gd32f4xx_gpio.o,3.115780%,264,0,264,0,0,0
app_debug.o,2.926944%,248,30,236,0,12,18
tasks.o,2.443054%,207,49,158,0,49,0
malloc.o,2.218813%,188,0,188,0,0,0
gd32f4xx_misc.o,2.124395%,180,0,180,0,0,0
circular_queue.o,2.029978%,172,0,172,0,0,0
task_timer.o,1.841142%,156,0,156,0,0,0
systick.o,1.416263%,120,12,120,0,0,12
utils.o,1.298241%,110,0,110,0,0,0
uldiv.o,1.156615%,98,0,98,0,0,0
main.o,0.660923%,56,0,56,0,0,0
init.o,0.566505%,48,0,48,0,0,0
puts.o,0.424879%,36,0,36,0,0,0
memcpya.o,0.424879%,36,0,36,0,0,0
llushr.o,0.377670%,32,0,32,0,0,0
llshl.o,0.354066%,30,0,30,0,0,0
handlers.o,0.354066%,30,0,30,0,0,0
gd32f4xx_exti.o,0.354066%,30,0,30,0,0,0
gd32f4xx_it.o,0.236044%,20,0,20,0,0,0
mvars.o,0.094418%,8,8,0,0,8,0
entry9a.o,0.094418%,8,0,8,0,0,0
entry2.o,0.094418%,8,0,8,0,0,0
stdout.o,0.047209%,4,4,0,0,4,0
entry5.o,0.047209%,4,0,4,0,0,0
